sklep_id,dzien_tyg,data,sprzedaz,liczba_klientow,czy_otwarty,czy_promocja,czy_swieto,czy_swieto_szkolne,sklep_typ,sklep_asort,sklep_konkurencja
1,3,31.12.2021,2605,327,Tak,Nie,Nie,Tak,c,Podstawowy,1270
2,3,31.12.2021,2269,252,Tak,Nie,Nie,Tak,a,Podstawowy,570
3,3,31.12.2021,3804,408,Tak,Nie,Nie,Tak,a,Podstawowy,14130
4,3,31.12.2021,10152,1311,Tak,Nie,Nie,Tak,c,Rozszerzony,620
5,3,31.12.2021,1830,217,Tak,Nie,Nie,Tak,a,Podstawowy,29910
6,3,31.12.2021,2604,308,Tak,Nie,Nie,Tak,a,Podstawowy,310
7,3,31.12.2021,5219,557,Tak,Nie,Nie,Tak,a,Rozszerzony,24000
8,3,31.12.2021,3025,394,Tak,Nie,Nie,Tak,a,Podstawowy,7520
9,3,31.12.2021,5063,462,Tak,Nie,Nie,Tak,a,Rozszerzony,2030
10,3,31.12.2021,4216,450,Tak,Nie,Nie,Tak,a,Podstawowy,3160
11,3,31.12.2021,3838,543,Tak,Nie,Nie,Tak,a,Rozszerzony,960
12,3,31.12.2021,4871,609,Tak,Nie,Nie,Tak,a,Rozszerzony,1070
14,3,31.12.2021,3939,453,Tak,Nie,Nie,Tak,a,Podstawowy,1300
15,3,31.12.2021,4291,476,Tak,Nie,Nie,Tak,d,Rozszerzony,4110
16,3,31.12.2021,4720,473,Tak,Nie,Nie,Tak,a,Rozszerzony,3270
17,3,31.12.2021,2639,367,Tak,Nie,Nie,Tak,a,Podstawowy,50
18,3,31.12.2021,4286,492,Tak,Nie,Nie,Tak,d,Rozszerzony,13840
19,3,31.12.2021,3772,363,Tak,Nie,Nie,Tak,a,Rozszerzony,3240
21,3,31.12.2021,3043,319,Tak,Nie,Nie,Tak,c,Rozszerzony,550
23,3,31.12.2021,3489,290,Tak,Nie,Nie,Tak,d,Podstawowy,4060
24,3,31.12.2021,7503,672,Tak,Nie,Nie,Tak,a,Rozszerzony,4590
25,3,31.12.2021,7771,925,Tak,Nie,Nie,Tak,c,Podstawowy,430
26,3,31.12.2021,2891,265,Tak,Nie,Nie,Tak,d,Podstawowy,2300
27,3,31.12.2021,5385,599,Tak,Nie,Nie,Tak,a,Podstawowy,60
28,3,31.12.2021,1713,214,Tak,Nie,Nie,Tak,a,Podstawowy,1200
29,3,31.12.2021,4890,429,Tak,Nie,Nie,Tak,d,Rozszerzony,2170
30,3,31.12.2021,2257,376,Tak,Nie,Nie,Tak,a,Podstawowy,40
31,3,31.12.2021,3150,363,Tak,Nie,Nie,Tak,d,Rozszerzony,9800
33,3,31.12.2021,6969,703,Tak,Nie,Nie,Tak,a,Rozszerzony,1320
34,3,31.12.2021,5096,616,Tak,Nie,Nie,Tak,c,Podstawowy,2240
35,3,31.12.2021,5187,415,Tak,Nie,Nie,Tak,d,Rozszerzony,7660
37,3,31.12.2021,2920,384,Tak,Nie,Nie,Tak,c,Podstawowy,4230
38,3,31.12.2021,3534,340,Tak,Nie,Nie,Tak,d,Podstawowy,1090
39,3,31.12.2021,2916,425,Tak,Nie,Nie,Tak,a,Podstawowy,260
40,3,31.12.2021,1675,257,Tak,Nie,Nie,Tak,a,Podstawowy,180
42,3,31.12.2021,7395,780,Tak,Nie,Nie,Tak,a,Rozszerzony,290
43,3,31.12.2021,3760,389,Tak,Nie,Nie,Tak,d,Podstawowy,4880
44,3,31.12.2021,3028,423,Tak,Nie,Nie,Tak,a,Podstawowy,540
45,3,31.12.2021,3550,311,Tak,Nie,Nie,Tak,d,Podstawowy,9710
47,3,31.12.2021,4894,638,Tak,Nie,Nie,Tak,a,Rozszerzony,270
48,3,31.12.2021,2552,270,Tak,Nie,Nie,Tak,a,Podstawowy,1060
49,3,31.12.2021,4244,367,Tak,Nie,Nie,Tak,d,Rozszerzony,18010
50,3,31.12.2021,2107,211,Tak,Nie,Nie,Tak,d,Podstawowy,6260
1,2,30.12.2021,6466,703,Tak,Nie,Nie,Tak,c,Podstawowy,1270
2,2,30.12.2021,5513,632,Tak,Nie,Nie,Tak,a,Podstawowy,570
3,2,30.12.2021,8376,957,Tak,Nie,Nie,Tak,a,Podstawowy,14130
4,2,30.12.2021,16860,2075,Tak,Nie,Nie,Tak,c,Rozszerzony,620
5,2,30.12.2021,5056,585,Tak,Nie,Nie,Tak,a,Podstawowy,29910
6,2,30.12.2021,5044,598,Tak,Nie,Nie,Tak,a,Podstawowy,310
7,2,30.12.2021,10690,1177,Tak,Nie,Nie,Tak,a,Rozszerzony,24000
8,2,30.12.2021,6463,759,Tak,Nie,Nie,Tak,a,Podstawowy,7520
9,2,30.12.2021,7903,668,Tak,Nie,Nie,Tak,a,Rozszerzony,2030
10,2,30.12.2021,6862,673,Tak,Nie,Nie,Tak,a,Podstawowy,3160
11,2,30.12.2021,10609,1370,Tak,Nie,Nie,Tak,a,Rozszerzony,960
12,2,30.12.2021,9426,1109,Tak,Nie,Nie,Tak,a,Rozszerzony,1070
14,2,30.12.2021,6821,771,Tak,Nie,Nie,Tak,a,Podstawowy,1300
15,2,30.12.2021,8670,836,Tak,Nie,Nie,Tak,d,Rozszerzony,4110
16,2,30.12.2021,7762,765,Tak,Nie,Nie,Tak,a,Rozszerzony,3270
17,2,30.12.2021,7055,869,Tak,Nie,Nie,Tak,a,Podstawowy,50
18,2,30.12.2021,7617,801,Tak,Nie,Nie,Tak,d,Rozszerzony,13840
19,2,30.12.2021,7462,685,Tak,Nie,Nie,Tak,a,Rozszerzony,3240
21,2,30.12.2021,7048,605,Tak,Nie,Nie,Tak,c,Rozszerzony,550
23,2,30.12.2021,5486,535,Tak,Nie,Nie,Tak,d,Podstawowy,4060
24,2,30.12.2021,13547,1102,Tak,Nie,Nie,Tak,a,Rozszerzony,4590
25,2,30.12.2021,14354,1844,Tak,Nie,Nie,Tak,c,Podstawowy,430
26,2,30.12.2021,5096,475,Tak,Nie,Nie,Tak,d,Podstawowy,2300
27,2,30.12.2021,12922,1408,Tak,Nie,Nie,Tak,a,Podstawowy,60
28,2,30.12.2021,3924,499,Tak,Nie,Nie,Tak,a,Podstawowy,1200
29,2,30.12.2021,9478,798,Tak,Nie,Nie,Tak,d,Rozszerzony,2170
30,2,30.12.2021,5317,828,Tak,Nie,Nie,Tak,a,Podstawowy,40
31,2,30.12.2021,7851,733,Tak,Nie,Nie,Tak,d,Rozszerzony,9800
33,2,30.12.2021,10902,973,Tak,Nie,Nie,Tak,a,Rozszerzony,1320
34,2,30.12.2021,9573,1133,Tak,Nie,Nie,Tak,c,Podstawowy,2240
35,2,30.12.2021,11361,807,Tak,Nie,Nie,Tak,d,Rozszerzony,7660
37,2,30.12.2021,6897,814,Tak,Nie,Nie,Tak,c,Podstawowy,4230
38,2,30.12.2021,7432,638,Tak,Nie,Nie,Tak,d,Podstawowy,1090
39,2,30.12.2021,5803,721,Tak,Nie,Nie,Tak,a,Podstawowy,260
40,2,30.12.2021,5427,709,Tak,Nie,Nie,Tak,a,Podstawowy,180
42,2,30.12.2021,13334,1324,Tak,Nie,Nie,Tak,a,Rozszerzony,290
43,2,30.12.2021,7161,660,Tak,Nie,Nie,Tak,d,Podstawowy,4880
44,2,30.12.2021,6256,723,Tak,Nie,Nie,Tak,a,Podstawowy,540
45,2,30.12.2021,5703,471,Tak,Nie,Nie,Tak,d,Podstawowy,9710
47,2,30.12.2021,10067,1195,Tak,Nie,Nie,Tak,a,Rozszerzony,270
48,2,30.12.2021,4141,486,Tak,Nie,Nie,Tak,a,Podstawowy,1060
49,2,30.12.2021,6997,467,Tak,Nie,Nie,Tak,d,Rozszerzony,18010
50,2,30.12.2021,4468,395,Tak,Nie,Nie,Tak,d,Podstawowy,6260
1,1,29.12.2021,6463,700,Tak,Nie,Nie,Tak,c,Podstawowy,1270
2,1,29.12.2021,5999,662,Tak,Nie,Nie,Tak,a,Podstawowy,570
3,1,29.12.2021,8788,941,Tak,Nie,Nie,Tak,a,Podstawowy,14130
4,1,29.12.2021,13543,1759,Tak,Nie,Nie,Tak,c,Rozszerzony,620
5,1,29.12.2021,4646,573,Tak,Nie,Nie,Tak,a,Podstawowy,29910
6,1,29.12.2021,5223,595,Tak,Nie,Nie,Tak,a,Podstawowy,310
7,1,29.12.2021,11145,1162,Tak,Nie,Nie,Tak,a,Rozszerzony,24000
8,1,29.12.2021,7086,799,Tak,Nie,Nie,Tak,a,Podstawowy,7520
9,1,29.12.2021,7684,667,Tak,Nie,Nie,Tak,a,Rozszerzony,2030
10,1,29.12.2021,6157,629,Tak,Nie,Nie,Tak,a,Podstawowy,3160
11,1,29.12.2021,10084,1375,Tak,Nie,Nie,Tak,a,Rozszerzony,960
12,1,29.12.2021,9917,1134,Tak,Nie,Nie,Tak,a,Rozszerzony,1070
14,1,29.12.2021,6750,769,Tak,Nie,Nie,Tak,a,Podstawowy,1300
15,1,29.12.2021,9377,875,Tak,Nie,Nie,Tak,d,Rozszerzony,4110
16,1,29.12.2021,7783,806,Tak,Nie,Nie,Tak,a,Rozszerzony,3270
17,1,29.12.2021,7067,953,Tak,Nie,Nie,Tak,a,Podstawowy,50
18,1,29.12.2021,6868,753,Tak,Nie,Nie,Tak,d,Rozszerzony,13840
19,1,29.12.2021,7479,668,Tak,Nie,Nie,Tak,a,Rozszerzony,3240
21,1,29.12.2021,5374,506,Tak,Nie,Nie,Tak,c,Rozszerzony,550
23,1,29.12.2021,4858,445,Tak,Nie,Nie,Tak,d,Podstawowy,4060
24,1,29.12.2021,11639,987,Tak,Nie,Nie,Tak,a,Rozszerzony,4590
25,1,29.12.2021,12261,1622,Tak,Nie,Nie,Tak,c,Podstawowy,430
26,1,29.12.2021,7462,644,Tak,Nie,Nie,Tak,d,Podstawowy,2300
27,1,29.12.2021,11946,1338,Tak,Nie,Nie,Tak,a,Podstawowy,60
28,1,29.12.2021,5145,574,Tak,Nie,Nie,Tak,a,Podstawowy,1200
29,1,29.12.2021,7742,708,Tak,Nie,Nie,Tak,d,Rozszerzony,2170
30,1,29.12.2021,4693,684,Tak,Nie,Nie,Tak,a,Podstawowy,40
31,1,29.12.2021,6853,660,Tak,Nie,Nie,Tak,d,Rozszerzony,9800
33,1,29.12.2021,9228,860,Tak,Nie,Nie,Tak,a,Rozszerzony,1320
34,1,29.12.2021,9680,1158,Tak,Nie,Nie,Tak,c,Podstawowy,2240
35,1,29.12.2021,11138,828,Tak,Nie,Nie,Tak,d,Rozszerzony,7660
37,1,29.12.2021,8256,968,Tak,Nie,Nie,Tak,c,Podstawowy,4230
38,1,29.12.2021,5434,485,Tak,Nie,Nie,Tak,d,Podstawowy,1090
39,1,29.12.2021,4965,647,Tak,Nie,Nie,Tak,a,Podstawowy,260
40,1,29.12.2021,4809,628,Tak,Nie,Nie,Tak,a,Podstawowy,180
42,1,29.12.2021,11385,1140,Tak,Nie,Nie,Tak,a,Rozszerzony,290
43,1,29.12.2021,6286,578,Tak,Nie,Nie,Tak,d,Podstawowy,4880
44,1,29.12.2021,5331,666,Tak,Nie,Nie,Tak,a,Podstawowy,540
45,1,29.12.2021,5228,429,Tak,Nie,Nie,Tak,d,Podstawowy,9710
47,1,29.12.2021,9906,1123,Tak,Nie,Nie,Tak,a,Rozszerzony,270
48,1,29.12.2021,4075,443,Tak,Nie,Nie,Tak,a,Podstawowy,1060
49,1,29.12.2021,6794,475,Tak,Nie,Nie,Tak,d,Rozszerzony,18010
50,1,29.12.2021,4332,387,Tak,Nie,Nie,Tak,d,Podstawowy,6260
1,7,28.12.2021,0,0,Nie,Nie,Nie,Tak,c,Podstawowy,1270
2,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Podstawowy,570
3,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Podstawowy,14130
4,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,c,Rozszerzony,620
5,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Podstawowy,29910
6,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Podstawowy,310
7,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Rozszerzony,24000
8,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Podstawowy,7520
9,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Rozszerzony,2030
10,7,28.12.2021,0,0,Nie,Nie,Nie,Tak,a,Podstawowy,3160
11,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Rozszerzony,960
12,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Rozszerzony,1070
14,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Podstawowy,1300
15,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,d,Rozszerzony,4110
16,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Rozszerzony,3270
17,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Podstawowy,50
18,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,d,Rozszerzony,13840
19,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Rozszerzony,3240
21,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,c,Rozszerzony,550
23,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,d,Podstawowy,4060
24,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Rozszerzony,4590
25,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,c,Podstawowy,430
26,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,d,Podstawowy,2300
27,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Podstawowy,60
28,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Podstawowy,1200
29,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,d,Rozszerzony,2170
30,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Podstawowy,40
31,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,d,Rozszerzony,9800
33,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Rozszerzony,1320
34,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,c,Podstawowy,2240
35,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,d,Rozszerzony,7660
37,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,c,Podstawowy,4230
38,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,d,Podstawowy,1090
39,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Podstawowy,260
40,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Podstawowy,180
42,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Rozszerzony,290
43,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,d,Podstawowy,4880
44,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Podstawowy,540
45,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,d,Podstawowy,9710
47,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Rozszerzony,270
48,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,a,Podstawowy,1060
49,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,d,Rozszerzony,18010
50,7,28.12.2021,0,0,Nie,Nie,Nie,Nie,d,Podstawowy,6260
1,6,27.12.2021,6057,684,Tak,Nie,Nie,Tak,c,Podstawowy,1270
2,6,27.12.2021,3934,457,Tak,Nie,Nie,Nie,a,Podstawowy,570
3,6,27.12.2021,4825,569,Tak,Nie,Nie,Nie,a,Podstawowy,14130
4,6,27.12.2021,12724,1693,Tak,Nie,Nie,Nie,c,Rozszerzony,620
5,6,27.12.2021,2847,317,Tak,Nie,Nie,Nie,a,Podstawowy,29910
6,6,27.12.2021,3990,432,Tak,Nie,Nie,Nie,a,Podstawowy,310
7,6,27.12.2021,8882,917,Tak,Nie,Nie,Nie,a,Rozszerzony,24000
8,6,27.12.2021,3806,502,Tak,Nie,Nie,Nie,a,Podstawowy,7520
9,6,27.12.2021,6096,537,Tak,Nie,Nie,Nie,a,Rozszerzony,2030
10,6,27.12.2021,4787,537,Tak,Nie,Nie,Tak,a,Podstawowy,3160
11,6,27.12.2021,9120,1252,Tak,Nie,Nie,Nie,a,Rozszerzony,960
12,6,27.12.2021,7159,912,Tak,Nie,Nie,Nie,a,Rozszerzony,1070
14,6,27.12.2021,3083,379,Tak,Nie,Nie,Nie,a,Podstawowy,1300
15,6,27.12.2021,6734,736,Tak,Nie,Nie,Nie,d,Rozszerzony,4110
16,6,27.12.2021,5340,535,Tak,Nie,Nie,Nie,a,Rozszerzony,3270
17,6,27.12.2021,3521,497,Tak,Nie,Nie,Nie,a,Podstawowy,50
18,6,27.12.2021,6497,699,Tak,Nie,Nie,Nie,d,Rozszerzony,13840
19,6,27.12.2021,3954,380,Tak,Nie,Nie,Nie,a,Rozszerzony,3240
21,6,27.12.2021,6123,533,Tak,Nie,Nie,Nie,c,Rozszerzony,550
23,6,27.12.2021,3478,347,Tak,Nie,Nie,Nie,d,Podstawowy,4060
24,6,27.12.2021,6918,617,Tak,Nie,Nie,Nie,a,Rozszerzony,4590
25,6,27.12.2021,10386,1337,Tak,Nie,Nie,Nie,c,Podstawowy,430
26,6,27.12.2021,7658,682,Tak,Nie,Nie,Nie,d,Podstawowy,2300
27,6,27.12.2021,8294,1018,Tak,Nie,Nie,Nie,a,Podstawowy,60
28,6,27.12.2021,2625,324,Tak,Nie,Nie,Nie,a,Podstawowy,1200
29,6,27.12.2021,7162,659,Tak,Nie,Nie,Nie,d,Rozszerzony,2170
30,6,27.12.2021,3789,657,Tak,Nie,Nie,Nie,a,Podstawowy,40
31,6,27.12.2021,6474,688,Tak,Nie,Nie,Nie,d,Rozszerzony,9800
33,6,27.12.2021,7985,821,Tak,Nie,Nie,Nie,a,Rozszerzony,1320
34,6,27.12.2021,8151,1000,Tak,Nie,Nie,Nie,c,Podstawowy,2240
35,6,27.12.2021,8616,737,Tak,Nie,Nie,Nie,d,Rozszerzony,7660
37,6,27.12.2021,10054,1223,Tak,Nie,Nie,Nie,c,Podstawowy,4230
38,6,27.12.2021,5909,570,Tak,Nie,Nie,Nie,d,Podstawowy,1090
39,6,27.12.2021,2261,326,Tak,Nie,Nie,Nie,a,Podstawowy,260
40,6,27.12.2021,4035,588,Tak,Nie,Nie,Nie,a,Podstawowy,180
42,6,27.12.2021,7072,792,Tak,Nie,Nie,Nie,a,Rozszerzony,290
43,6,27.12.2021,4397,394,Tak,Nie,Nie,Nie,d,Podstawowy,4880
44,6,27.12.2021,3991,549,Tak,Nie,Nie,Nie,a,Podstawowy,540
45,6,27.12.2021,4680,352,Tak,Nie,Nie,Nie,d,Podstawowy,9710
47,6,27.12.2021,6664,864,Tak,Nie,Nie,Nie,a,Rozszerzony,270
48,6,27.12.2021,2930,328,Tak,Nie,Nie,Nie,a,Podstawowy,1060
49,6,27.12.2021,6044,430,Tak,Nie,Nie,Nie,d,Rozszerzony,18010
50,6,27.12.2021,3116,317,Tak,Nie,Nie,Nie,d,Podstawowy,6260
1,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,c,Podstawowy,1270
2,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,570
3,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,14130
4,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,c,Rozszerzony,620
5,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,29910
6,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,310
7,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,24000
8,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,7520
9,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,2030
10,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,3160
11,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,960
12,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,1070
14,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,1300
15,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Rozszerzony,4110
16,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,3270
17,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,50
18,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Rozszerzony,13840
19,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,3240
21,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,c,Rozszerzony,550
23,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Podstawowy,4060
24,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,4590
25,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,c,Podstawowy,430
26,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Podstawowy,2300
27,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,60
28,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,1200
29,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Rozszerzony,2170
30,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,40
31,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Rozszerzony,9800
33,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,1320
34,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,c,Podstawowy,2240
35,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Rozszerzony,7660
37,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,c,Podstawowy,4230
38,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Podstawowy,1090
39,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,260
40,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,180
42,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,290
43,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Podstawowy,4880
44,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,540
45,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Podstawowy,9710
47,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,270
48,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,1060
49,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Rozszerzony,18010
50,5,26.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Podstawowy,6260
1,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,c,Podstawowy,1270
2,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,570
3,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,14130
4,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,c,Rozszerzony,620
5,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,29910
6,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,310
7,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,24000
8,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,7520
9,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,2030
10,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,3160
11,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,960
12,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,1070
14,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,1300
15,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Rozszerzony,4110
16,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,3270
17,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,50
18,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Rozszerzony,13840
19,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,3240
21,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,c,Rozszerzony,550
23,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Podstawowy,4060
24,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,4590
25,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,c,Podstawowy,430
26,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Podstawowy,2300
27,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,60
28,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,1200
29,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Rozszerzony,2170
30,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Podstawowy,40
31,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,d,Rozszerzony,9800
33,4,25.12.2021,0,0,Nie,Nie,Boże Narodzenie,Tak,a,Rozszerzony,1320
